mmsi,name,class,source
3638,3638,,db_ships
4747,MIROS,,db_ships
12388,ORWELLNAVGTNSERVICE ,,db_ships
65007,ZELDENRUST,,db_ships
2173826,JUTLAND,,db_ships
2190045,ESBJERG HARBOUR     ,,db_ships
2249955,                    ,,db_ships
2278000,PORT DE CALAIS      ,,db_ships
2320208,LOMOND              ,,db_ships
2320816,MILFORD HAVEN VTS   ,,db_ships
2424103,QUILATES            ,,db_ships
6459022,PORT LOUIS NCG POST ,,db_ships
6925141,JOANNA THERESIA.    ,,db_ships
9415789,HKS 1    ,,db_ships
10476008,YE92  ZEEMEERMIN    ,,db_ships
11588490,ERKNER,,db_ships
12345678,DMA                 ,,db_ships
16286976,SCH2412       ,,db_ships
21135600,HANSEKOGGE,,db_ships
22222222,,,db_ships
40004829,MV STARLITE TAMARAW ,,db_ships
40276600,MAINTAL BUMMLER ,,db_ships
42122036,AL ROBYAN  3 MISURT,,db_ships
42854289,,,db_ships
46056928,,,db_ships
93665479,,,db_ships
111219514,,,db_ships
111219519,,,db_ships
123456789,PILOTAGE NADOR,,db_ships
200333333,GATEHOUSE MARITIME,,db_ships
201005555,MATTEO&MELISSA,,db_ships
201007777,GRACIANO II,,db_ships
201100179,DYRRAH,,db_ships
201100182,EPIDAMN II          ,,db_ships
201100402,ARLI  III,,db_ships
201110301,SHPRESA II,,db_ships
202807200,,,db_ships
203227138,MISS PEZI,,db_ships
203244088,LENTIA,,db_ships
203999295,SCHOENBRUNN,,db_ships
203999303,WIEN,,db_ships
203999311,LINZ,,db_ships
203999325,ADMIRAL TEGETTHOFF  ,,db_ships
203999327,VINDOBONA           ,,db_ships
203999337,KAISERIN ELISABETH 2,,db_ships
203999338,GRAFENAU            ,,db_ships
203999339,GREIFENSTEIN        ,,db_ships
203999350,AURORA,,db_ships
203999351,BLUE DANUBE,,db_ships
203999353,ENNS,,db_ships
203999357,FAHRE KORNEUBURG    ,,db_ships
203999373,DTSG 1              ,,db_ships
203999377,EDUARD              ,,db_ships
203999378,LINZ                ,,db_ships
203999379,LEOBEN              ,,db_ships
203999389,DEGGENDORF,,db_ships
203999394,DONAUNIXE           ,,db_ships
203999399,ALPHA               ,,db_ships
203999409,CARNUNTUM           ,,db_ships
203999421,PRIMADONNA          ,,db_ships
203999426,WIEN,,db_ships
203999427,WIENTANK 1 ,,db_ships
203999428,WIENTANK 2,,db_ships
203999447,WALROSS             ,,db_ships
203999452,MELK,,db_ships
203999453,WENIA,,db_ships
203999454,JOHANN STRAUSS,,db_ships
203999472,SALZBURG            ,,db_ships
203999485,TWIN CITY LINER,,db_ships
203999486,BAD DEUTSCH ALTENBUR,,db_ships
204201370,SANTO ONOFRE ,,db_ships
204201560,MESTRE AFONSO,,db_ships
204203650,ANA MARGARIDA,,db_ships
204206750,BAIA DA MAIA,,db_ships
204208790,BELA AURORA,,db_ships
204209000,MARCELINO BARBOSA,,db_ships
204209570,MESTRE SACADURA,,db_ships
204225000,MESTRE BOBICHA,,db_ships
204232000,ARTUR E TERESA,,db_ships
204254000,ARMINDO JOSE ,,db_ships
204263000,CRUSTACEO,,db_ships
204601240,ILHA DE SAO LUIS,,db_ships
204606000,O BRAVO,,db_ships
204672560,ACOR,,db_ships
204701250,CRUZEIRO DO CANAL,,db_ships
204701390,GILBERTO MARIANO    ,,db_ships
204701440,MESTRE JAIME FEIJO  ,,db_ships
204701460,THOR B              ,,db_ships
204708000,FURNAS,,db_ships
204807000,AMANHECER ,,db_ships
204814000,IRIS DO MAR,,db_ships
204819000,BRAVO  ,,db_ships
204826000,FLOR DO PICO,,db_ships
204829000,FALCAO DO MAR  ,,db_ships
204838000,GENOVA   ,,db_ships
205001000,ABBE MANN,,db_ships
205002000,VB SHARK            ,,db_ships
205027000,MINERAL LUXEMBOURG  ,,db_ships
205038000,POMPEI              ,,db_ships
205045800,BREITLING           ,,db_ships
205050000,MARANT              ,,db_ships
205051000,MINERAL HELLAS      ,,db_ships
205061000,PROGRESS            ,,db_ships
205063000,VB TERNEUZEN        ,,db_ships
205072000,SIMON STEVIN        ,,db_ships
205076000,FRANLIS 3,,db_ships
205081000,ARISTA              ,,db_ships
205085300,SOMTRANS XI,,db_ships
205088000,J. BREYDEL SURVEY,,db_ships
205099000,PIETER COECKE       ,,db_ships
205103000,MARGOT              ,,db_ships
205105000,NEPTUNE             ,,db_ships
205108000,R7-ORINOCO,,db_ships
205109000,VB FLANDES          ,,db_ships
205110000,LOODSBOOT 7 PILOT  ,,db_ships
205113000,VB SAMBA            ,,db_ships
205115000,ORKA           ,,db_ships
205127000,FRANSON Z91,,db_ships
205128000,Z57  HEIN SENIOR    ,,db_ships
205130000,BELGICA,,db_ships
205132000,RAMBIZ,,db_ships
205133000,Z26 AVANTI,,db_ships
205136000,CL NOGARO,,db_ships
205144000,FORTUNA I,,db_ships
205147000,HYDROTUG 1          ,,db_ships
205155000,MFV Z67 RUBENS      ,,db_ships
205159000,MELLINA             ,,db_ships
205162000,MFV DEBORAH,,db_ships
205177000,VB LIEVEN GEVAERT   ,,db_ships
205178000,CMA CGM MASAI MARA  ,,db_ships
205188000,VB STERLING         ,,db_ships
205192000,CUSTOS DEUS         ,,db_ships
205193000,VB VICTORY          ,,db_ships
205196000,NP 460              ,,db_ships
205199000,VB BRAAKMAN         ,,db_ships
205200190,IMMUNITY            ,,db_ships
205200690,FREGATE,,db_ships
205201000,CMOS INSTALLER      ,,db_ships
205202690,GERONIMUS,,db_ships
205202790,ILLUSION     ,,db_ships
205203390,TUG 92              ,,db_ships
205204390,NAUTIEK,,db_ships
205205190,ASPERDAM,,db_ships
205205741,SCALDIA,,db_ships
205205745,TIPI,,db_ships
205206190,DABRICY             ,,db_ships
205207190,SCHELDESTAD,,db_ships
205210000,WISMAR              ,,db_ships
205210870,DOMINO,,db_ships
205212590,SERJOS,,db_ships
205212890,ORIZONTAS,,db_ships
205214000,MAYA                ,,db_ships
205214190,SANTIAGO,,db_ships
205214890,MALAYU,,db_ships
205215370,LADY ANNOUCHE,,db_ships
205216000,WINDCAT 32  ,,db_ships
205217290,SYNERGY,,db_ships
205217990,NEGRONI,,db_ships
205218090,MOJO ,,db_ships
205218590,DW ANTWERPEN,,db_ships
205218990,JE-PA               ,,db_ships
205219590,BALDER,,db_ships
205222790,ODYSSEE,,db_ships
205224090,SPICA,,db_ships
205224690,ICARIA,,db_ships
205227000,Z45 JERKI           ,,db_ships
205227090,DONAU,,db_ships
205228790,DANIQUE F,,db_ships
205228890,RONA,,db_ships
205230390,SANTOS,,db_ships
205231590,MARNIX VST ALDEGONDE,,db_ships
